seller_id,number_of_orders,seller_zip_code_prefix
6560211a19b47992c3666cc44a7e94c0,2033,5849
4a3ca9315b744ce9f8e9374361493884,1987,14940
1f50f920176fa81dab994f9023523100,1931,15025
cc419e0650a3c5ba77189a1882b7556a,1775,9015
da8622b14eb17ae2831f4ac5b9dab84a,1551,13405
955fee9216a65b617aa5c0531780ce60,1499,4782
1025f0e2d44d7041d6cf58b6550e0bfa,1428,3204
7c67e1448b00f6e969d365cea6b010ab,1364,8577
ea8482cd71df3c1969d7b9473ff13abc,1203,4160
7a67c85e85bb2ce8582c35f2203ad736,1171,3426
4869f7a5dfa277a7dca6462dcf3b52b2,1156,14840
3d871de0142ce09b7081e2b9d1733cb1,1147,13232
8b321bb669392f5163d04c59e235e066,1018,1212
cca3071e3e9bb7d12640c9fbe2301306,830,14940
620c87c171fb2a6dd6e8bb4dec959fc6,798,25645
a1043bafd471dff536d0c462352beb48,770,37175
e9779976487b77c6d4ac45f75ec7afe9,750,11701
f8db351d8c4c4c22c6835c19a46f01b0,724,13324
d2374cbcbb3ca4ab1086534108cc3ab7,631,14940
391fc6631aebcf3004804e51b40bcf1e,613,14940
fa1c13f2614d7b5c4749cbc52fecda94,586,13170
7d13fca15225358621be4086e1eb0964,578,14050
128639473a139ac0f3e5f5ade55873a5,560,87050
1835b56ce799e6a4dc4eddc053f04066,558,14940
46dc3b2cc0980fb8ec44634e21d2718e,542,22240
d91fb3b7d041e83b64a00a3edfb37e4f,536,11704
1900267e848ceeba8fa32d80c1a5f5a8,529,14940
53e4c6e0f4312d4d2107a8c9cddf45cd,522,13920
85d9eb9ddc5d00ca9336a2219c97bb13,522,31255
4e922959ae960d389249c378d1c939f5,454,12327
8581055ce74af1daba164fdbd55a40de,435,7112
8160255418d5aaa7dbdc9f4c64ebda44,431,14940
897060da8b9a21f655304d50fd935913,430,14092
9f505651f4a6abe901a56cdc21508025,430,4102
2138ccb85b11a4ec1e37afbd1c8eda1f,429,8250
dbc22125167c298ef99da25668e1011f,429,37564
218d46b86c1881d022bce9c68a7d4b15,427,14070
16090f2ca825584b5a147ab24aa30c86,410,12940
53243585a1d6dc2643021fd1853d8905,410,42738
06a2c3af7b3aee5d69171b0e14f0ee87,405,65072
4d6d651bd7684af3fffabd5f08d12e5a,395,17209
77530e9772f57a62c906e1c21538ab82,389,80310
de722cd6dad950a92b7d4f82673f8833,379,51250
