year_buy,month_buy,sum(price)
2017,1,119808.89978647232
2017,2,247692.18982934952
2017,3,373676.61948776245
2017,4,359987.10972356796
2017,5,504774.04929590225
2017,6,434899.29012036324
2017,7,496804.92039346695
2017,8,574045.8504765034
2017,9,624899.5093922615
2017,10,664582.1300191879
2017,11,1009598.8212070465
2017,12,744899.5897750854
2018,1,948205.1213402748
2018,2,845342.6013243198
2018,3,983358.6114201546
2018,4,995534.789380908
2018,5,991203.4397263527
2018,6,870338.3294637203
2018,7,891858.8300480843
2018,8,860202.0797231197
